ID,Age,BMI,Workout_Freq,Avg_Steps,Monthly_Spend,Stress_Level,Sleep_Hours,Diet_Quality
1,58,25.2,6,6638,60,3,7.9,5
2,48,34.1,3,11941,97,5,6.6,5
3,34,22.6,6,6427,198,3,7.7,1
4,27,25.9,6,7780,149,8,5.1,5
5,40,26.8,0,4927,178,8,6.7,2
6,58,22.8,3,5356,219,8,6.6,7
7,38,20.2,4,7790,182,9,5.9,3
8,42,27.1,5,3306,250,4,6.8,4
9,30,33.3,0,10979,174,5,8,3
10,30,27.6,4,6665,67,5,5.8,3
11,43,26.4,1,10057,90,8,7.5,4
12,55,26.3,0,3661,225,7,5.4,5
13,59,25,4,7644,44,9,8.6,1
14,43,30.7,1,11503,44,8,7.3,4
15,22,24,3,5920,133,2,8.2,8
16,41,20.6,5,11946,135,4,7.2,7
17,21,19.7,1,9236,47,6,6.9,9
18,43,26.3,6,9078,103,2,7.3,5
19,49,30.2,2,3352,177,7,6.4,4
20,57,26.9,1,10005,77,3,4.9,8
21,21,24.7,1,3158,150,3,6.9,9
22,40,27.8,5,3956,151,2,5.7,7
23,52,26.7,2,5071,259,8,5.4,7
24,31,29.3,6,11595,120,6,7.1,5
25,41,31.3,4,6453,175,1,6.2,4
26,44,22.2,4,9675,143,1,7.5,1
27,46,16.6,1,3955,192,7,5.7,7
28,47,24.6,2,9295,112,8,6,1
29,35,21.9,2,4712,233,5,7.7,1
30,34,29.3,6,7703,246,5,6.8,5
31,22,23.1,5,9563,217,4,5,9
32,56,18.5,3,8631,234,6,6.8,6
33,26,23.7,4,4394,88,6,8,3
34,40,20,5,7732,75,3,6,3
35,28,32.4,0,6714,165,9,7.1,7
36,58,27.9,4,3529,107,7,5.7,6
37,37,28.6,5,5958,117,1,6.4,9
38,23,28.1,4,10904,144,7,7.6,6
39,44,29.4,3,6591,208,5,6.7,5
40,33,30.5,0,9895,256,5,7.8,7
41,28,23.8,3,3525,161,2,6.9,1
42,45,20.3,6,9477,158,4,8.7,7
43,21,22.6,0,3001,229,6,4.9,3
44,39,25.8,1,3374,153,7,6.3,9
45,47,15.7,5,7648,49,5,5.4,6
46,26,30.6,0,5365,188,9,5.5,9
47,27,18.4,6,4525,203,3,5.5,5
48,54,28.4,6,4646,179,1,6.7,7
49,33,25.3,3,3013,130,4,6.7,4
50,36,27.1,4,7599,41,9,6.9,7
51,55,24.1,0,5278,157,4,5.4,1
52,59,26.9,5,6155,52,2,6.2,7
53,23,24.1,0,11321,220,5,5.5,8
54,21,23.8,2,6814,199,3,7.4,5
55,25,22.4,4,6216,134,9,5.6,2
56,23,32.1,5,11219,183,4,6.3,5
57,48,27.5,5,5113,71,6,7.1,6
58,37,26.8,1,7356,71,2,5.9,2
59,45,22.5,3,8543,163,6,7.2,6
60,53,25.1,1,7555,50,3,8.1,6
61,29,22.1,5,10062,49,9,6.7,1
62,55,24,4,6374,54,2,7.4,1
63,33,21.2,0,9430,56,9,4.4,3
64,50,32.4,0,6466,207,5,6.1,3
65,34,23,4,6081,185,8,6.7,4
66,27,22.5,5,3629,222,2,5.4,2
67,33,20.7,6,3269,240,6,6.7,9
68,42,22.9,0,8724,192,3,7.6,7
69,59,24,6,8897,98,5,4.6,7
70,40,25.8,0,6432,117,8,5.3,6
